2022,Lect. #,Day,First Reading,Responsorial Psalm,Alleluia Verse,Gospel
5/9/22,279,4th Week of Easter - Mon,Acts 11:1-18,"Ps 42:2-3; 42:3, 4",John 10:14,"John 10:1-10
 or, in Yr A, Jn 10:11-18"
5/10/22,280,4th Week of Easter - Tues,Acts 11:19-26,"Ps 87:1b-3, 4-5, 6-7",John 10:27,John 10:22-30
5/11/22,281,4th Week of Easter - Wed,Acts 12:24—13:5a,"Ps 67:2-3, 5, 6+8",John 8:12,John 12:44-50
5/12/22,282,4th Week of Easter - Thurs,Acts 13:13-25,"Ps 89:2-3, 21-22, 25+27",See Rev 1:5ab,John 13:16-20
5/13/22,283,4th Week of Easter - Fri,Acts 13:26-33,"Ps 2:6-7, 8-9, 10-11ab",John 14:6,John 14:1-6
[5/14/22],284,"4th Week of Easter - Sat
 [2022: St. Matthias]",Acts 13:44-52,"Ps 98:1, 2-3ab, 3cd-4",John 8:31b-32,John 14:7-14
5/16/22,285,5th Week of Easter - Mon,Acts 14:5-18,"Ps 115:1-2, 3-4, 15-16",John 14:26,John 14:21-26
5/17/22,286,5th Week of Easter - Tues,Acts 14:19-28,"Ps 145:10-11, 12-13ab, 21",See Luke 24:46+26,John 14:27-31a
5/18/22,287,5th Week of Easter - Wed,Acts 15:1-6,"Ps 122:1-2, 3-4ab, 4cd-5",John 15:4a+5b,John 15:1-8
5/19/22,288,5th Week of Easter - Thurs,Acts 15:7-21,"Ps 96:1-2a, 2b-3, 10",John 10:27,John 15:9-11
5/20/22,289,5th Week of Easter - Fri,Acts 15:22-31,"Ps 57:8-9, 10+12",John 15:15b,John 15:12-17
5/21/22,290,5th Week of Easter - Sat,Acts 16:1-10,"Ps 100:1b-2, 3, 5",Col 3:1,John 15:18-21
5/23/22,291,6th Week of Easter - Mon,Acts 16:11-15,"Ps 149:1b-2, 3-4, 5-6a+9b",John 15:26b-27a,John 15:26-16:4a
5/24/22,292,6th Week of Easter - Tues,Acts 16:22-34,"Ps 138:1-2ab, 2cde-3, 7c-8",See John 16:7+13,John 16:5-11
5/25/22,293,6th Week of Easter - Wed,"Acts 17:15, 22—18:1","Ps 148:1-2, 11-12, 13, 14",John 14:16,John 16:12-15
5/26/22,294*,"6th Week of Easter - Thurs
 [or Ascension of the Lord]",Acts 18:1-8,"Ps 98:1, 2-3ab, 3cd-4",See John 14:18,John 16:16-20
5/27/22,295,6th Week of Easter - Fri,Acts 18:9-18,"Ps 47:2-3, 4-5, 6-7",See Luke 24:46+26,John 16:20-23
5/28/22,296,6th Week of Easter - Sat,Acts 18:23-28,"Ps 47:2-3, 8-9, 10",John 16:28,John 16:23b-28
5/30/22,297,7th Week of Easter - Mon,Acts 19:1-8,"Ps 68:2-3ab, 4-5acd, 6-7ab",Col 3:1,John 16:29-33
[5/31/22],298,"7th Week of Easter - Tues
 [2022: Visitation]",Acts 20:17-27,"Ps 68:10-11, 20-21",John 14:16,John 17:1-11a
6/1/22,299,7th Week of Easter - Wed,Acts 20:28-38,"Ps 68:29-30, 33-35a, 35bc-36ab",See John 17:17b+17a,John 17:11b-19
6/2/22,300,7th Week of Easter - Thurs,Acts 22:30; 23:6-11,"Ps 16:1-2a+5, 7-8, 9-10, 11",John 17:21,John 17:20-26
6/3/22,301,7th Week of Easter - Fri,Acts 25:13b-21,"Ps 103:1-2, 11-12, 19-20ab",John 14:26,John 21:15-19
6/4/22,302,7th Week of Easter - Sat morning,"Acts 28:16-20, 30-31","Ps 11:4, 5+7",John 16:7+13,John 21:20-25
2022,Lect. #,Day,First Reading,Responsorial Psalm,Alleluia Verse,Gospel
